0,aback,"adv.向后地,朝后地",[ə'bæk]
1,abandon,"v.放弃,沉溺;n.放任",[ə'bændən]
2,abandonment,"n.放弃,自暴自弃,放纵",[ə'bændənmənt]
3,abase,"vt.降低…的地位,降低…的品格,贬抑",[ə'beis]
4,abasement,"n.贬抑,屈辱,谦卑",[ə'beismənt]
5,abash,"v.使…羞愧,使困窘",[ə'bæʃ]
6,abate,"v.缓和,减弱,减少,废除",[ə'beit]
7,abbey,"n.修道院",['æbi]
8,abbreviate,"v.缩写,使…简略,缩短",[ə'briːvieit]
9,abbreviation,"n.缩写",[ə'briːvi'eiʃən]
10,abdicate,"vt.放弃;vi.逊位",[æbdi'keit]
11,abdomen,"n.腹部",['æbdəmen]
12,abduction,"n.诱拐",[æb'dʌkʃən]
13,aberrant,"adj.脱离正道的,脱离常轨的,变体的",[æ'berənt]
14,aberration,"n.越轨,光行差,心理失常,色差",[æbə'reiʃən]
15,abet,"vt.教唆,帮助",[ə'bet]
16,abeyance,"n.中止,暂搁,停止",[ə'beiəns]
17,abhor,"v.憎恶,痛恨",[əb'hɔː]
18,abhorrence,"n.痛恨",[əb'hɔːrəns]
19,abide,"v.遵守,忍受,居留,坚持;v.忍受",[ə'baid]
20,abigail,"n.使女",['æbigeil]
21,ability,"n.能力,才干",[ə'biliti]
22,abject,"adj.不幸的,可怜的,悲惨的",['æbdʒekt]
23,abjure,"vt.发誓放弃",[əb'dʒuə]
24,ablaze,"adj.着火的,闪亮的,激昂的",[ə'bleiz]
25,ablution,"n.洗身,洗礼,斋戒沐浴",[ə'bluːʃən]
26,ably,"adv.能干地,巧妙地",['eibli]
27,abnegation,"n.拒绝,放弃",[æbni'geiʃən]
28,abnormal,"adj.不正常",[æb'nɔːməl]
29,aboard,"adv.在船上,在火车上,在飞机上",[ə'bɔːd]
30,abolish,"v.废止,革除,取消",[ə'bɔliʃ]
31,abolition,"n.废除,废除奴隶制度",['æbə'liʃən]
32,abolitionist,"n.废除主义者,废奴主义者",[æbə'liʃən]
33,abominable,"adj.讨厌的,令人憎恶的",[ə'bɔminəbl]
34,aboriginal,"adj.原始的,土著的;n.土著居民,土生生物",[æbə'ridʒənl]
35,abort,"v.流产,堕胎,失败;vt.使流产,使失败",[ə'bɔːt]
36,abortive,"adj.流产的,堕胎的,失败的",[ə'bɔrtiv]
37,abound,"v.丰富,富于,充满",[ə'baund]
38,aboveboard,"adv.光明正大地,率直地;adj.光明正大的",[ə'bʌv'bɔːd]
39,aboveground,"adv.在地上,未被埋葬地,活着",[ə'bʌvgraund]
40,abrade,"vt.擦伤,磨损,磨",[ə'breid]
41,abrasion,"n.磨去,磨损,磨损处",[ə'breiʒən]
42,abrasive,"n.研磨剂;adj.研磨的",[ə'breisiv]
43,abreast,"adv.并肩地,相并地",[ə'brest]
44,abridge,"v.删节,缩短,剥夺",[ə'bridʒ]
45,abridgment,"n.删节,缩短,删节本,剥夺",[ə'bridʒmənt]
46,abrogate,"vt.废除,取消",['æbrəugeit]
47,abrupt,"adj.突然的,唐突的,无礼的,不连贯的",[ə'brʌpt]
48,abruptly,"adv.突然地,唐突地",[ə'brʌptli]
49,abruptness,"n.突然,唐突",[ə'brʌptnis]
50,abscond,"vt.潜逃,逃匿",[əb'skɔnd]
51,absence,"n.缺乏,没有,缺席",['æbsəns]
52,absent,"adj.缺席的,不在的,缺乏的;v.缺席","['æbsənt,əb'sent]"
53,absentee,"n.缺席者,未上班者,不在者",[æbsn'tiː]
54,absolutely,"adv.完全地,绝对地,正是如此",['æbsəluːtli]
55,absolutist,"n.专制主义者,专制政治论者,绝对论者",['æbsəluːtist]
56,absolve,"v.宣告…无罪,赦免,免除",[əb'zɔlv]
57,absorb,"v.吸收,并吞,全神贯注,同化",[əb'sɔːb]
58,absorption,"n.吸收,专心,热衷",[əb'sɔːpʃən]
59,abstain,"v.自制,戒绝,弃权,避免",[əb'stein]
60,abstemious,"adj.节制的,节约的",[æb'stiːmjəs]
61,abstinence,"n.节制,禁欲,戒酒",['æbstinəns]
62,abstract,"n.摘要,抽象;adj.抽象的,深奥的;vt.摘要",['æbstrækt]
63,abstraction,"n.抽象化,心不在焉,提炼,抽象派作品",[æb'strækʃən]
64,abstruse,"adj.难解的,深奥的",[æb'struːs]
65,absurd,"adj.荒谬的,不合理的,可笑的",[əb'səːd]
66,absurdity,"n.荒谬,悖理,荒谬的事",[əb'səːditi]
67,abundance,"n.丰富,充足",[ə'bʌndəns]
68,abundantly,"adv.大量地,丰富地",[ə'bʌndəntli]
69,abuse,"n.滥用,恶习,辱骂;vt.滥用,虐待","[ə'bjuːz,ə'bjuːs]"
70,abusive,"adj.辱骂的,滥用的,陋习的",[ə'bjuːsiv]
71,abut,"v.邻接,毗邻",[ə'bʌt]
72,abysmal,"adj.深不可测的,无底的",[ə'bizml]
73,abyss,"n.深渊,无底洞,地狱",[ə'bis]
74,abyssal,"adj.深渊的,深海的",[ə'bisl]
75,academia,"n.学术界,学术环境",[ækə'diːmjə]
76,academic,"adj.学院的,理论的,不够实际的",['ækə'demik]
77,academy,"n.学院,院校,学会",[ə'kædəmi]
78,accede,"vi.同意,就任,继承",[æk'siːd]
79,accelerate,v.加速,[æk'seləreit]
80,acceleration,"n.加速,促进,加速度",[ækselə'reiʃən]
81,accent,"n.重音,口音;v.重读,强调","['æksənt,æk'sent]"
82,accentuate,"v.以重音念,强调,重读",[æk'sentʃueit]
83,acceptable,"adj.可接受的,合意的,合适的",[ək'septəbl]
84,acceptance,"n.接受,容纳,承诺",[ək'septəns]
85,accessibility,"n.易接近,可进入",[æksesə'biliti]
86,accessible,"adj.易接近的,可进入的,易受影响的,可理解的",[æk'sesəbl]
87,accessorize,"vt.装饰；补充,穿戴装饰品",[ək'sesəraiz]
88,accessory,"n.附件,同谋;adj.附属的,同谋的",[æk'sesəri]
89,accidental,"adj.意外的,偶然的;n.非本质属性",['æksi'dentl]
90,accidentally,"adv.偶然地,意外地",['æksi'dentəli]
91,acclaim,"n.喝采,欢呼,赞同;v.欢呼,喝采",[ə'kleim]
92,acclimate,"vt.使适应新环境,使服水土;vi.服水土",[ə'klaimit]
93,acclivity,n.向上的斜坡,[ə'kliviti]
94,accolade,n.荣誉称号授予仪式；荣誉；连谱号；称赞,[ækə'leid]
95,accommodate,"v.使适应,调节,和解,容纳;vi.适应",[ə'kɔmədeit]
96,accommodation,"n.适应,调解,膳宿,贷款","[ə,kɔmə'deiʃən]"
97,accompaniment,"n.自然的伴随物,陪伴物,伴奏",[ə'kʌmpənimənt]
98,accompany,"vt.陪伴,带有,为…伴奏;vi.伴奏",[ə'kʌmpəni]
99,accomplice,"n.共犯,同谋",[ə'kɔmplis]
100,accomplish,v.完成,[ə'kɔmpliʃ]
101,accomplishment,"n.成就,完成",[ə'kɔmpliʃmənt]
102,accord,"n.一致,调和,协定;vt.一致,给予",[ə'kɔːd]
103,accordance,"n.一致,和谐",[ə'kɔːdəns]
104,according,adv.根据,[ə'kɔːdiŋ]
105,accordingly,"adv.因此,于是,如前所说,相应地",[ə'kɔːdiŋli]
